               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12179,            0.032426,            0.029859,          0.00069702,                 0.2,          0.00060008,          0.00016899,            0.094468,            0.020206,            0.020636,              0.0964,              0.0004,              0.0004
                   1,             0.12184,            0.031829,            0.030567,            0.001255,                 0.4,           0.0015334,          0.00064421,            0.090927,            0.018082,            0.019568,             0.09187,           0.0008703,           0.0008703
                   2,             0.11122,            0.033165,            0.031495,           0.0028786,                 0.8,            0.016593,           0.0048934,            0.081532,             0.01492,            0.017096,            0.087308,           0.0013076,           0.0013076
                   3,            0.098667,            0.034758,            0.030071,           0.0028579,                 0.8,            0.056881,            0.024496,            0.076998,            0.015738,            0.016772,            0.082712,           0.0017119,           0.0017119
                   4,            0.091697,            0.036017,            0.027001,             0.04929,                 0.7,             0.14662,            0.045025,            0.061641,            0.014853,            0.016803,            0.078083,           0.0020832,           0.0020832
                   5,            0.086103,            0.033293,            0.028019,            0.010373,                 0.7,             0.12928,            0.066053,            0.041396,            0.014429,             0.01911,            0.073422,           0.0024215,           0.0024215
                   6,            0.082384,            0.033242,            0.027023,            0.011203,                 0.7,             0.17656,            0.098679,            0.040574,            0.013824,            0.016125,            0.068727,           0.0027268,           0.0027268
                   7,            0.087014,            0.033361,            0.027037,            0.073268,                 0.3,             0.13761,            0.074597,            0.044627,            0.013884,            0.016492,            0.063999,           0.0029991,           0.0029991
                   8,            0.078707,            0.032482,            0.027963,            0.053726,                 0.5,             0.20776,            0.098452,            0.035788,            0.013188,            0.017273,            0.059238,           0.0032384,           0.0032384
                   9,            0.077148,            0.030119,             0.02596,             0.18182,                 0.3,             0.33299,             0.20801,             0.03844,            0.012551,            0.016943,            0.054445,           0.0034447,           0.0034447
                  10,            0.075418,            0.031725,            0.024043,             0.38778,                 0.3,             0.28006,             0.14603,             0.04151,            0.011429,            0.015527,            0.049618,            0.003618,            0.003618
                  11,             0.06848,            0.029506,            0.023747,             0.24164,                 0.4,             0.20398,            0.081333,              0.0411,            0.011137,            0.014981,            0.044758,           0.0037583,           0.0037583
                  12,            0.070083,            0.029658,            0.024994,             0.15634,                 0.4,             0.14618,             0.07649,            0.040843,            0.011737,            0.014346,            0.039866,           0.0038656,           0.0038656
                  13,            0.068283,            0.029764,            0.021937,             0.11794,             0.38621,             0.13111,            0.043818,            0.035547,            0.010977,            0.014011,             0.03494,           0.0039399,           0.0039399
                  14,             0.06974,            0.031391,            0.026348,             0.18372,                 0.2,             0.18098,            0.070967,            0.036858,             0.01014,            0.014218,            0.029981,           0.0039812,           0.0039812
                  15,            0.066896,             0.02847,            0.027953,             0.49085,                 0.2,             0.28992,             0.11351,            0.034639,            0.010568,            0.014172,            0.024989,           0.0039895,           0.0039895
                  16,            0.067641,            0.030134,            0.024487,             0.21073,                 0.2,             0.19108,            0.089655,            0.037474,            0.011143,             0.01712,            0.019965,           0.0039648,           0.0039648
                  17,            0.062788,            0.028218,            0.025795,             0.53249,                 0.2,             0.27893,             0.14626,            0.041436,            0.012684,            0.015753,            0.014907,           0.0039071,           0.0039071
                  18,            0.058331,            0.027597,             0.02603,             0.24191,                 0.2,             0.28755,             0.14307,            0.040097,            0.011686,            0.016125,           0.0098164,           0.0038164,           0.0038164
                  19,            0.059586,            0.028313,            0.020823,             0.24428,                 0.2,             0.19399,             0.10001,            0.043015,           0.0098808,            0.017529,           0.0046927,           0.0036927,           0.0036927
                  20,            0.064835,            0.028655,            0.023512,             0.22725,                 0.2,              0.2257,              0.1094,            0.038412,            0.009594,            0.016425,              0.0034,              0.0034,              0.0034
                  21,             0.06532,            0.028288,            0.022779,             0.21182,                 0.3,             0.23016,             0.13434,            0.033417,           0.0096102,            0.015717,              0.0034,              0.0034,              0.0034
                  22,            0.058714,            0.026047,            0.021869,             0.32779,                 0.3,             0.38858,             0.21821,            0.031925,            0.008697,            0.015448,             0.00307,             0.00307,             0.00307
                  23,            0.055377,            0.025578,            0.020643,             0.32746,                 0.3,             0.34597,             0.21814,            0.032897,           0.0093668,            0.014508,             0.00274,             0.00274,             0.00274
                  24,            0.056436,            0.026142,             0.02177,             0.25313,                 0.3,             0.31139,             0.15959,            0.037009,           0.0097799,            0.014038,             0.00241,             0.00241,             0.00241
                  25,            0.060508,            0.026886,            0.021392,             0.38555,             0.39561,             0.41582,              0.2467,            0.034978,           0.0093181,            0.013522,             0.00208,             0.00208,             0.00208
                  26,            0.058323,            0.027132,            0.021074,             0.24948,                 0.4,             0.40268,             0.24675,            0.032822,            0.008956,            0.013126,             0.00175,             0.00175,             0.00175
                  27,            0.058852,            0.028463,            0.020735,             0.24382,             0.40099,              0.4281,             0.25165,            0.032222,           0.0072651,            0.011935,             0.00142,             0.00142,             0.00142
                  28,            0.058847,            0.027844,            0.020443,             0.24913,                 0.4,             0.47829,             0.25737,            0.030438,           0.0068791,            0.011798,             0.00109,             0.00109,             0.00109
                  29,            0.053226,            0.025756,            0.019622,             0.75803,                 0.4,             0.46397,             0.23506,            0.029493,           0.0065348,            0.011609,             0.00076,             0.00076,             0.00076
