               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12179,            0.032426,            0.029859,          0.00069702,                 0.2,          0.00060008,          0.00016899,            0.094468,            0.020206,            0.020636,              0.0964,              0.0004,              0.0004
                   1,             0.12182,            0.031817,            0.030511,           0.0012598,                 0.4,           0.0016688,          0.00059873,            0.090583,            0.018356,            0.019489,            0.091885,          0.00088515,          0.00088515
                   2,              0.1112,            0.033272,             0.03076,           0.0030866,                 0.9,             0.04175,             0.01337,            0.081395,            0.017586,            0.017548,            0.087354,           0.0013538,           0.0013538
                   3,            0.097936,            0.035119,            0.030375,           0.0029943,                 0.9,            0.033483,           0.0065809,            0.080199,             0.01614,            0.020441,            0.082806,           0.0018059,           0.0018059
                   4,            0.091749,            0.036068,            0.026714,           0.0019543,                 0.6,            0.020684,           0.0071115,            0.066526,            0.014097,            0.022272,            0.078242,           0.0022416,           0.0022416
                   5,            0.086956,            0.033596,              0.0268,           0.0031458,                 0.9,            0.029461,            0.012709,            0.041775,            0.013591,            0.020197,            0.073661,           0.0026608,           0.0026608
                   6,            0.082411,            0.033391,             0.02742,           0.0079616,                 0.6,             0.21719,            0.079884,            0.040787,            0.012628,             0.01673,            0.069063,           0.0030634,           0.0030634
                   7,             0.08479,            0.033258,            0.027557,             0.10901,                 0.2,             0.13779,            0.080647,            0.040635,            0.011812,            0.016229,             0.06445,           0.0034496,           0.0034496
                   8,            0.080922,            0.032027,            0.026338,             0.57485,                 0.1,              0.1742,               0.083,            0.040517,            0.011096,            0.018103,            0.059819,           0.0038192,           0.0038192
                   9,            0.074648,            0.029534,            0.025063,             0.33197,                 0.3,             0.25326,             0.13212,            0.035272,            0.010895,            0.017981,            0.055172,           0.0041724,           0.0041724
                  10,            0.073408,            0.030701,            0.023423,             0.34419,                 0.2,             0.17957,             0.11704,            0.035921,            0.011266,            0.015405,            0.050509,            0.004509,            0.004509
                  11,            0.065861,            0.028387,            0.023806,             0.48298,                 0.2,             0.25702,              0.1663,            0.039572,            0.012608,            0.015747,            0.045829,           0.0048291,           0.0048291
                  12,            0.069094,            0.028741,             0.02605,             0.29782,                 0.2,             0.24886,             0.11471,            0.035625,           0.0087287,            0.017603,            0.041133,           0.0051328,           0.0051328
                  13,            0.063737,            0.028205,            0.021359,             0.47939,                 0.2,             0.23894,            0.096747,            0.028365,           0.0094774,            0.019043,             0.03642,           0.0054199,           0.0054199
                  14,            0.071701,             0.02938,            0.025897,             0.10877,                 0.2,             0.16172,            0.088339,            0.028158,           0.0087712,            0.021643,            0.031691,           0.0056906,           0.0056906
                  15,            0.067556,            0.027073,            0.024415,              0.2941,             0.17887,             0.22229,             0.10378,            0.032919,           0.0090916,            0.020734,            0.026945,           0.0059448,           0.0059448
                  16,            0.065773,            0.029221,             0.02303,             0.23521,             0.29283,              0.2245,             0.10833,            0.029552,           0.0095727,            0.013327,            0.022182,           0.0061824,           0.0061824
                  17,            0.065443,            0.026219,             0.02197,              0.2102,                 0.2,             0.12743,            0.051657,            0.034178,            0.010076,            0.013812,            0.017404,           0.0064036,           0.0064036
                  18,            0.060706,            0.025542,            0.023349,              0.2975,                 0.3,             0.20746,            0.099803,             0.02957,            0.010146,            0.013416,            0.012608,           0.0066082,           0.0066082
                  19,            0.060308,            0.026842,            0.019743,            0.082658,                 0.2,             0.13037,            0.052054,             0.02736,           0.0094132,            0.012799,           0.0077963,           0.0067964,           0.0067964
                  20,            0.062356,            0.027321,            0.020566,             0.55212,                 0.1,            0.042899,            0.020837,            0.040156,           0.0083373,            0.016962,              0.0067,              0.0067,              0.0067
                  21,            0.071045,             0.02562,            0.021532,             0.62904,                 0.1,             0.08663,            0.041829,            0.034628,           0.0074017,            0.021429,              0.0067,              0.0067,              0.0067
                  22,            0.058581,            0.024339,            0.020285,             0.61766,                 0.1,            0.099062,            0.054065,            0.038799,           0.0069861,            0.021088,            0.006535,            0.006535,            0.006535
                  23,            0.060781,            0.023709,            0.017351,             0.30569,                 0.5,             0.40005,               0.224,            0.026739,           0.0070081,            0.015714,             0.00637,             0.00637,             0.00637
                  24,            0.058745,              0.0245,            0.018324,             0.30371,                 0.2,             0.20418,            0.087781,            0.034224,           0.0071249,            0.014395,            0.006205,            0.006205,            0.006205
                  25,            0.056462,             0.02507,             0.01759,              0.2787,                 0.3,             0.26643,             0.11698,             0.03033,           0.0076272,            0.012354,             0.00604,             0.00604,             0.00604
                  26,             0.05956,            0.025246,            0.016277,             0.23695,                 0.6,             0.29685,             0.15007,            0.032801,           0.0069909,           0.0093201,            0.005875,            0.005875,            0.005875
                  27,            0.060491,            0.026307,            0.016644,              0.8172,             0.46625,             0.47833,              0.2893,            0.027229,            0.007164,           0.0066711,             0.00571,             0.00571,             0.00571
                  28,            0.060866,            0.025148,            0.013291,             0.51061,             0.38597,             0.38364,              0.1789,            0.033235,           0.0074148,           0.0081787,            0.005545,            0.005545,            0.005545
                  29,            0.056073,            0.023294,            0.014847,             0.51023,                 0.4,             0.38295,             0.18753,            0.029636,           0.0072455,            0.010968,             0.00538,             0.00538,             0.00538
                  30,            0.059785,            0.023817,            0.013165,             0.54656,             0.28572,             0.34412,             0.13799,            0.026713,           0.0074553,            0.017267,            0.005215,            0.005215,            0.005215
                  31,            0.055858,            0.025968,            0.013169,             0.65674,                 0.3,             0.35066,             0.16607,            0.036948,           0.0061846,            0.014569,             0.00505,             0.00505,             0.00505
                  32,            0.051573,            0.024197,            0.013116,             0.69708,             0.28359,             0.41998,              0.1768,             0.03282,           0.0061989,            0.012791,            0.004885,            0.004885,            0.004885
                  33,            0.056888,            0.025257,            0.011734,             0.69959,                 0.3,             0.42018,             0.19614,            0.035513,           0.0065498,            0.010876,             0.00472,             0.00472,             0.00472
                  34,            0.052405,            0.025146,            0.011005,             0.39899,             0.37671,             0.39822,               0.203,             0.03618,           0.0062883,           0.0094284,            0.004555,            0.004555,            0.004555
                  35,            0.055592,            0.022588,            0.011704,             0.35665,                 0.4,             0.38633,             0.20464,            0.032217,           0.0060773,            0.021973,             0.00439,             0.00439,             0.00439
                  36,            0.053575,            0.027018,           0.0086218,             0.40968,             0.28261,             0.34259,             0.13145,            0.031357,           0.0060925,            0.024628,            0.004225,            0.004225,            0.004225
